Team_Abbr,query_year,query_month,G,GS,SV,IP,H,R,ER,BB,SO,HR,HBP,AB,IBB,GDP,ERA,SO9,BB9
MIN,2017,7,80.0,0.0,7.0,86.33,102.0,49.0,46.0,22.0,79.0,14.0,5.0,344.0,5.0,12.0,4.795551951812811,8.235839221591567,2.293524846519171
NYM,2017,7,91.0,0.0,14.0,87.68,96.0,49.0,47.0,41.0,88.0,10.0,2.0,345.0,1.0,4.0,4.8243613138686126,9.032846715328466,4.208485401459853
NYY,2017,7,99.0,1.0,6.0,113.0,88.0,37.0,36.0,47.0,142.0,11.0,9.0,416.0,5.0,4.0,2.8672566371681416,11.309734513274336,3.743362831858407
PHI,2017,7,76.0,0.0,5.0,80.66,79.0,34.0,33.0,26.0,80.0,9.0,2.0,315.0,2.0,4.0,3.682122489461939,8.926357550210762,2.9010662038184973
PIT,2017,7,71.0,0.0,7.0,80.01,69.0,24.0,22.0,29.0,70.0,8.0,2.0,290.0,2.0,10.0,2.4746906636670416,7.874015748031495,3.262092238470191
SDP,2017,7,92.0,0.0,10.0,95.68,83.0,42.0,40.0,26.0,102.0,17.0,1.0,357.0,0.0,6.0,3.7625418060200664,9.59448160535117,2.4456521739130435
SEA,2017,7,88.0,2.0,8.0,97.34,81.0,31.0,26.0,42.0,107.0,5.0,3.0,364.0,7.0,8.0,2.403944935278406,9.893158002876515,3.8832956646805012
SFG,2017,7,78.0,0.0,6.0,76.33,79.0,37.0,35.0,39.0,69.0,9.0,4.0,289.0,7.0,6.0,4.126817764967903,8.135726450936723,4.598454080964234
STL,2017,7,89.0,1.0,6.0,83.67,75.0,27.0,24.0,26.0,86.0,7.0,6.0,309.0,7.0,6.0,2.5815704553603442,9.250627465041232,2.796701326640373
TBR,2017,7,92.0,0.0,9.0,92.97999999999999,76.0,42.0,39.0,37.0,78.0,12.0,7.0,340.0,5.0,10.0,3.775005377500538,7.550010755001076,3.581415358141536
TEX,2017,7,61.0,1.0,4.0,79.67,75.0,45.0,38.0,42.0,82.0,12.0,3.0,302.0,6.0,11.0,4.292707418099661,9.263210744320322,4.744571356846993
TOR,2017,7,93.0,1.0,7.0,110.64999999999999,113.0,81.0,75.0,44.0,111.0,21.0,7.0,427.0,1.0,10.0,6.100316312697696,9.02846814279259,3.578852236782648
WAS,2017,7,92.0,0.0,7.0,89.01,80.0,45.0,41.0,33.0,100.0,12.0,3.0,335.0,5.0,6.0,4.145601617795753,10.11122345803842,3.336703741152679
ARI,2017,8,95.0,1.0,13.0,92.34,95.0,62.0,59.0,46.0,84.0,17.0,3.0,361.0,7.0,10.0,5.750487329434698,8.187134502923977,4.483430799220272
ATH,2017,8,89.0,0.0,6.0,96.0,89.0,50.0,46.0,37.0,88.0,16.0,6.0,364.0,4.0,9.0,4.3125,8.25,3.46875
