mlb_id,fielding_runs,Month,Year,innings,CompDate
400284,-1.0,05,2017,110.27833333333332,2017-05-31
642162,1.0,05,2017,69.1675,2017-05-31
607776,-1.0,05,2017,80.335,2017-05-31
592885,2.0,05,2017,228.11166666666668,2017-05-31
430832,-3.0,07,2017,213.61166666666668,2017-07-31
593428,-1.0,07,2017,218.38833333333332,2017-07-31
593528,1.0,07,2017,134.66666666666666,2017-07-31
457803,-2.0,07,2017,205.16666666666666,2017-07-31
543068,2.0,07,2017,135.945,2017-07-31
501981,2.0,07,2017,165.5,2017-07-31
641553,4.0,07,2017,200.0,2017-07-31
523253,-2.0,07,2017,150.83333333333334,2017-07-31
503556,1.0,07,2017,180.88833333333332,2017-07-31
571718,-1.0,07,2017,135.1675,2017-07-31
491676,0.0,07,2017,123.945,2017-07-31
543401,1.0,07,2017,115.27833333333332,2017-07-31
518934,-1.0,07,2017,217.0,2017-07-31
489149,0.0,07,2017,179.61166666666668,2017-07-31
572008,-2.0,07,2017,193.75,2017-07-31
592626,1.0,07,2017,112.77833333333332,2017-07-31
460060,-1.0,07,2017,81.44500000000001,2017-07-31
624577,0.0,07,2017,200.27833333333334,2017-07-31
434670,0.0,07,2017,73.0,2017-07-31
543685,0.0,07,2017,211.38833333333332,2017-07-31
595375,2.0,07,2017,140.3325,2017-07-31
592685,0.0,07,2017,96.22333333333334,2017-07-31
608369,-1.0,07,2017,193.66666666666666,2017-07-31
543768,2.0,07,2017,204.33333333333334,2017-07-31
543807,0.0,07,2017,186.77833333333334,2017-07-31
570560,-1.0,07,2017,174.38833333333332,2017-07-31
444432,-2.0,07,2017,88.66666666666667,2017-07-31
472528,0.0,07,2017,163.73399999999998,2017-07-31
502143,1.0,07,2017,173.66666666666666,2017-07-31
620443,-1.1,08,2017,51.778333333333336,2017-08-31
596142,0.2,04,2017,147.33333333333334,2017-04-30
596142,1.2,09,2017,147.33333333333334,2017-09-30
553882,0.3,08,2017,108.88833333333334,2017-08-31
575929,-0.7,06,2017,145.88833333333335,2017-06-30
543877,3.6,07,2017,128.83333333333334,2017-07-31
545358,0.0,09,2017,34.165,2017-09-30
571466,2.2,05,2017,154.38833333333335,2017-05-31
553869,-0.6,08,2017,81.466,2017-08-31
592663,1.7,05,2017,194.66666666666666,2017-05-31
608596,-0.4,06,2017,27.0,2017-06-30
572287,-0.2,04,2017,165.66666666666666,2017-04-30
622194,-0.1,06,2017,93.88833333333334,2017-06-30
521692,-1.2,09,2017,156.945,2017-09-30
542908,-0.1,04,2017,66.5,2017-04-30
605131,3.7,06,2017,85.88833333333334,2017-06-30
543308,0.0,06,2017,59.266,2017-06-30
543308,0.1,05,2017,59.266,2017-05-31
518595,2.7,06,2017,130.055,2017-06-30
518595,0.8,04,2017,130.055,2017-04-30
518595,0.7,05,2017,130.055,2017-05-31
506702,-0.5,04,2017,116.555,2017-04-30
519222,1.4,08,2017,95.22166666666668,2017-08-31
547379,1.9,06,2017,96.77833333333332,2017-06-30
571679,0.4,09,2017,21.0,2017-09-30
467092,-0.3,07,2017,124.9175,2017-07-31
543302,-0.3,09,2017,82.11166666666666,2017-09-30
572863,-2.0,05,2017,74.1675,2017-05-31
607257,0.4,08,2017,79.665,2017-08-31
607345,-2.3,09,2017,103.77833333333332,2017-09-30
455117,3.4,05,2017,191.22166666666666,2017-05-31
456078,1.3,08,2017,125.555,2017-08-31
488771,2.1,07,2017,151.445,2017-07-31
452095,5.2,06,2017,124.16666666666667,2017-06-30
452095,4.0,05,2017,124.16666666666667,2017-05-31
518960,-5.0,05,2017,158.445,2017-05-31
519390,-1.2,04,2017,97.88833333333334,2017-04-30
519390,-2.1,05,2017,97.88833333333334,2017-05-31
455139,-2.1,09,2017,115.22166666666668,2017-09-30
471083,1.3,08,2017,69.22166666666666,2017-08-31
460077,-3.4,08,2017,73.66666666666667,2017-08-31
460026,-2.5,09,2017,101.38833333333334,2017-09-30
425877,1.2,08,2017,187.94500000000002,2017-08-31
425877,0.3,04,2017,187.94500000000002,2017-04-30
425877,-1.4,05,2017,187.94500000000002,2017-05-31
431145,-1.5,06,2017,126.77833333333332,2017-06-30
455755,-1.1,06,2017,59.11166666666667,2017-06-30
454560,-0.7,04,2017,54.833333333333336,2017-04-30
547989,1.0,09,2017,199.5,2017-09-30
641319,-2.0,09,2017,170.25,2017-09-30
605137,-1.0,09,2017,197.72166666666666,2017-09-30
453568,-1.0,09,2017,227.72166666666666,2017-09-30
488721,1.0,09,2017,79.33333333333333,2017-09-30
460075,0.0,09,2017,199.5825,2017-09-30
595879,1.0,09,2017,187.16666666666666,2017-09-30
453943,4.0,09,2017,187.44500000000002,2017-09-30
518692,0.0,09,2017,202.666,2017-09-30
503556,2.0,09,2017,180.88833333333332,2017-09-30
452104,0.0,09,2017,180.0,2017-09-30
514917,-1.0,09,2017,183.38833333333332,2017-09-30
571788,1.0,09,2017,118.77666666666666,2017-09-30
656555,0.0,09,2017,220.335,2017-09-30
578428,-3.0,09,2017,186.05499999999998,2017-09-30
457706,-1.0,09,2017,108.66666666666667,2017-09-30
445055,0.0,09,2017,129.555,2017-09-30
430945,-1.0,09,2017,211.16666666666666,2017-09-30
543484,1.0,09,2017,131.33333333333334,2017-09-30
457705,0.0,09,2017,217.27833333333334,2017-09-30
593160,-1.0,09,2017,209.77833333333334,2017-09-30
660162,0.0,09,2017,155.77666666666667,2017-09-30
519048,1.0,09,2017,195.16666666666666,2017-09-30
605412,-1.0,09,2017,198.5,2017-09-30
444482,0.0,09,2017,178.11166666666668,2017-09-30
541650,0.0,09,2017,156.11166666666665,2017-09-30
608703,-1.0,09,2017,77.33333333333333,2017-09-30
547004,2.0,09,2017,114.77666666666666,2017-09-30
573135,2.0,09,2017,99.534,2017-09-30
467055,0.0,09,2017,144.6675,2017-09-30
594988,-3.0,09,2017,184.05499999999998,2017-09-30
656941,-1.9,09,2017,138.0,2017-09-30
519306,-1.0,09,2017,202.0,2017-09-30
519317,1.0,09,2017,218.72166666666666,2017-09-30
621020,0.0,09,2017,200.33333333333334,2017-09-30
605509,1.0,09,2017,75.2,2017-09-30
502143,-1.0,09,2017,173.66666666666666,2017-09-30
542340,-2.0,09,2017,134.61166666666665,2017-09-30
455759,0.0,09,2017,90.75,2017-09-30
450314,-3.0,09,2017,152.61166666666665,2017-09-30
645277,0.0,08,2017,248.665,2017-08-31
501659,0.0,08,2017,81.866,2017-08-31
593528,-1.0,08,2017,134.66666666666666,2017-08-31
624424,1.0,08,2017,163.73399999999998,2017-08-31
605204,-1.0,08,2017,76.665,2017-08-31
434658,0.0,08,2017,152.534,2017-08-31
646240,-1.0,08,2017,169.22333333333333,2017-08-31
518626,1.0,08,2017,156.5,2017-08-31
572821,0.0,08,2017,218.5,2017-08-31
544725,-2.0,08,2017,167.75,2017-08-31
