player_name,retro_id,mlb_id,bref_id,fg_id,Team
Alan Trejo,treja001,676701,trejoal01,20056,
Austin Hedges,hedga001,595978,hedgeau01,12976,
Luis Guillorme,guill001,641645,guilllu01,16451,
Josh VanMeter,vanmj001,642165,vanmejo01,15170,
Julio Rodriguez,rodrj007,677594,rodriju01,23697,
Willi Castro,castw003,650489,castrwi01,17338,
Colin Moran,morac001,592567,moranco01,16909,
Mike Zunino,zunim001,572287,zuninmi01,13265,
Brad Miller,millb002,543543,millebr02,12775,
Andrew Knapp,knapa001,595284,knappan01,14942,
Ryan McKenna,mcker001,663630,mckenry01,19928,
Alek Thomas,thoma004,677950,thomaal01,23792,
Sam Hilliard,hills005,656541,hillisa01,17954,
Rafael Ortega,orter001,542364,ortegra01,10323,
Rob Brantly,branr002,542963,brantro01,10655,
Donovan Walton,waltd002,622268,waltodo01,19314,
Taylor Trammell,tramt001,666211,trammta01,19960,
Pablo Reyes,reyep001,622569,reyespa01,16357,
Steele Walker,walks001,667727,walkest01,22093,
Steven Kwan,kwans001,680757,kwanst01,24610,
Chris Okey,okeyc001,608360,okeych01,19245,
Meibrys Viloria,vilom001,650619,vilorme01,17109,
Mark Contreras,contm001,676628,contrma01,20122,
Christopher Morel,morec001,666624,morelch01,21897,
Billy Hamilton,hamib001,571740,hamilbi02,10199,
Jason Delay,delaj004,641511,delayja01,19806,
Yolmer Sanchez,sancc001,570560,sanchca01,11602,
Jaylin Davis,davij008,664041,davisja03,19552,
Zack Collins,collz001,641470,colliza01,19181,
Lars Nootbaar,nootl001,663457,nootbla01,21454,
Robbie Grossman,grosr001,543257,grossro01,5254,
Wynton Bernard,bernw001,592144,bernawy01,13408,
Drew Waters,wated001,671221,waterdr01,20505,
Garrett Mitchell,mitcg001,669003,mitchga01,27555,
Clayton Kershaw,kersc001,477132,kershcl01,2036,
Caleb Joseph,josec002,543376,josepca01,7087,
Boog Powell,poweb002,621471,powelbo02,15103,
Kenta Maeda,maedk001,628317,maedake01,18498,
Jesus Sucre,sucrj001,491696,sucreje01,5942,
Sean Newcomb,newcs001,656794,newcose01,16943,
Matt Harvey,harvm001,518774,harvema01,11713,
Tyson Ross,rosst001,475115,rossty01,7872,
Mitch Garver,garvm001,641598,garvemi01,15161,
Luke Weaver,weavl001,596133,weavelu01,16918,
Ben Lively,liveb001,594902,livelbe01,14932,
Max Scherzer,schem001,453286,scherma01,3137,
Ryan LaMarre,lamar001,534606,lamarry01,10700,
Kyle Hendricks,hendk001,543294,hendrky01,12049,
Noah Syndergaard,syndn001,592789,syndeno01,11762,
Mallex Smith,smitm007,605480,smithma05,13608,
Matt Wisler,wislm001,605538,wislema01,12804,
Ryan Goins,goinr001,572365,goinsry01,9807,
Lourdes Gurriel,gurrl001,666971,gurrilo01,19238,
Josh Reddick,reddj001,502210,reddijo01,3892,
Troy Scribner,scrit001,644428,scribtr01,15570,
Anibal Sanchez,sanca004,434671,sanchan01,3284,
Clay Buchholz,buchc001,453329,buchhcl01,3543,
Ronny Rodriguez,rodrr009,500135,rodriro03,11875,
Josh Phegley,phegj001,572033,phegljo01,9308,
Erick Fedde,fedde001,607200,feddeer01,17425,
Adam Moore,moora001,446192,mooread01,9362,
Zach Vincej,vincz001,572227,vinceza01,13269,
Leonys Martin,martl004,547982,martile01,11846,
Touki Toussaint,toust001,657053,toussto01,16929,
Austin Gomber,gomba001,596295,gombeau01,16561,
Jack Reinheimer,reinj001,595373,reinhja01,14938,
Cesar Hernandez,hernc005,514917,hernace02,10556,
Blake Snell,snelb001,605483,snellbl01,13543,
Jose Rojas,rojaj002,670351,rojasjo02,19331,
Ian Anderson,andei001,666120,anderia01,19951,
Tommy Hunter,huntt002,488984,hunteto02,1157,
Mitch Keller,kellm003,656605,kellemi03,17594,
Michael Chavis,chavm001,656308,chavimi01,17321,
Julio Urias,uriaj001,628711,uriasju01,14765,
Adrian Houser,housa001,605288,housead01,12718,
Chris Paddack,paddc001,663978,paddach01,20099,
Cody Ponce,poncc002,664074,ponceco01,17920,
Jon Duplantier,duplj001,641541,duplajo01,19546,
Jack Mayfield,mayfj001,608686,mayfija01,15402,
Luis Rengifo,rengl001,650859,rengilu01,19858,
Jerad Eickhoff,eickj001,595191,eickhje01,12664,
Riley Adams,adamr004,656180,adamsri03,19864,
Tim Locastro,locat001,641796,locasti01,15124,
Humberto Castellanos,casth002,528748,castehu01,21183,
Robert Stock,stocr001,476594,stockro01,6576,
Anthony Bass,bassa001,542914,bassan01,7982,
Taylor Widener,widet001,642203,widenta01,19266,
Jesus Luzardo,luzaj001,666200,luzarje01,19959,
Joey Wendle,wendj002,621563,wendljo01,13853,
Brusdar Graterol,gratb002,660813,gratebr01,20367,
Sam Coonrod,coons001,656322,coonrsa01,17264,
Cam Bedrosian,bedrc001,592135,bedroca01,13360,
Humberto Mejia,mejih001,650668,mejiahu01,20739,
Hans Crouse,crouh001,668968,crousha01,22192,
Joan Adon,adonj001,672851,adonjo01,22925,
Adam Rosales,rosaa001,489267,rosalad01,9682,
Casey Kelly,kellc001,543391,kellyca01,9174,
